id,categorie,intrebare,raspuns
11,burse,Ce acte îmi trebuie pentru bursa socială?,"Pentru bursa socială aveți nevoie de: cerere tip, adeverințe de venit pentru toți membrii familiei pe ultimele 3 luni (sau 12 luni, conform regulamentului), copii după actele de identitate ale membrilor familiei, adeverințe de elev/student pentru frați și declarație notarială dacă este cazul."
12,burse,Când se depun dosarele pentru burse?,"Dosarele de bursă se depun la începutul fiecărui semestru, de regulă în primele două săptămâni de la începerea cursurilor. Perioada exactă este anunțată pe site-ul facultății și la avizier. Dosarele depuse după termen nu sunt luate în considerare."
13,cazare,Cum pot obține un loc în cămin?,"Cererile de cazare se depun online, pe platforma universității, de regulă în luna iulie. Locurile se distribuie în funcție de media anului anterior și de criteriile sociale. Rezultatele repartizării se afișează înainte de începerea anului universitar."
14,cazare,Cât costă cazarea în căminul studențesc?,"Tariful de cazare depinde de cămin și de gradul de confort, fiind în general între 150 și 350 de lei pe lună pentru studenții bugetați. Studenții cu taxă plătesc un tarif majorat. Tarifele exacte se aprobă anual și se afișează pe site-ul universității."
15,cazare,Pot schimba camera sau căminul în timpul anului?,"Da, schimbările de cameră sau de cămin se pot face în limita locurilor disponibile, cu acordul administrației căminului. Cererea se depune la administrația căminului, iar schimbul se aprobă de comisia de cazare."
16,taxe,Care este taxa de școlarizare și cum o pot plăti?,"Taxa de școlarizare este stabilită anual de senatul universității pentru fiecare program de studii. Plata se poate face integral sau în 3-4 rate, online prin platforma de plăți a universității, prin transfer bancar sau la casieria universității."
17,taxe,Pot trece de la taxă la buget?,"Da. Redistribuirea locurilor bugetate se face la sfârșitul fiecărui an universitar, în ordinea descrescătoare a mediilor. Dacă media dumneavoastră este mai mare decât a unui student bugetat din același an, puteți ocupa locul bugetat eliberat."
18,taxe,Ce se întâmplă dacă nu plătesc taxa la termen?,"Neplata taxei la termenele stabilite atrage imposibilitatea prezentării la examene și, în cazuri repetate, exmatricularea. Dacă aveți dificultăți financiare, contactați secretariatul pentru o eventuală reeșalonare a plății înainte de expirarea termenului."
19,studii,Câte credite trebuie să acumulez pentru a promova anul?,"Pentru promovarea în anul următor este necesar să acumulați minimum 30 de credite din cele 60 aferente anului universitar, conform regulamentului de studii. Pentru a fi înscris în anul terminal și pentru finalizarea studiilor trebuie acumulate toate cele 60 de credite pe an."
20,studii,Cum îmi aleg disciplinele opționale?,"Alegerea disciplinelor opționale se face online, în contul de student, la sfârșitul anului universitar precedent. Fiecare student ordonează opțiunile după preferință, iar repartizarea se face în funcție de opțiuni și de numărul de locuri disponibile la fiecare disciplină."
21,studii,Pot să îmi întrerup studiile temporar?,"Da, puteți solicita întreruperea studiilor pentru unul sau maximum doi ani, din motive medicale sau personale justificate. Cererea se depune la secretariat înainte de începerea semestrului. La revenire, veți fi înscris în același an de studiu, conform planului de învățământ în vigoare."
22,studii,Cum mă pot transfera la altă facultate sau specializare?,"Transferul se poate face de regulă după primul an de studii, cu acordul ambelor facultăți. Trebuie să depuneți o cerere de transfer în perioada anunțată (de obicei în septembrie), iar comisia analizează compatibilitatea planurilor de învățământ și diferențele de recuperat."
23,studii,Unde găsesc orarul grupelor?,"Orarul este publicat pe site-ul facultății, secțiunea Studenți - Orar, și se actualizează înainte de începerea fiecărui semestru. Modificările temporare sunt anunțate de cadrele didactice pe platforma de e-learning sau pe grupurile oficiale ale anului."
24,studii,Cum aflu în ce grupă am fost repartizat?,"Repartizarea pe grupe se afișează pe site-ul facultății și la avizier înainte de începerea anului universitar. Studenții din anul întâi sunt repartizați alfabetic, iar schimbările de grupă se aprobă de secretariat doar în cazuri justificate."
25,practica,Este obligatorie practica de specialitate?,"Da, practica de specialitate este disciplină obligatorie în planul de învățământ și are alocate credite. Nefinalizarea practicii înseamnă credite nepromovate, la fel ca în cazul oricărei alte discipline obligatorii."
26,practica,Unde pot face practica de specialitate?,"Practica se poate desfășura la companii partenere ale facultății, la alte companii cu care se încheie convenție de practică, în laboratoarele facultății sau în cadrul unor proiecte interne. Lista partenerilor este publicată pe site-ul facultății."
27,practica,Ce documente trebuie să predau la finalul practicii?,"La finalul practicii trebuie să predați: convenția de practică semnată de toate părțile, caietul de practică completat, adeverința de efectuare a practicii eliberată de companie și, dacă este cerut, un raport sau un proiect de practică ce va fi prezentat la colocviu."
28,licenta,Când trebuie să îmi aleg tema lucrării de licență?,"Tema lucrării de licență se alege de regulă în penultimul an de studiu, până la sfârșitul lunii octombrie a anului terminal. Lista temelor propuse de cadrele didactice este publicată pe site, iar alegerea se face de comun acord cu coordonatorul."
29,licenta,Care sunt condițiile pentru a mă putea înscrie la examenul de licență?,"Pentru înscrierea la examenul de licență trebuie să aveți toate examenele promovate (toate creditele acumulate), lucrarea de licență finalizată și avizată de coordonator, raportul de similitudine (antiplagiat) acceptat și dosarul de înscriere complet depus la secretariat în perioada anunțată."
30,licenta,Cum se desfășoară prezentarea lucrării de licență?,"Prezentarea lucrării de licență se face în fața unei comisii, timp de aproximativ 10-15 minute, urmată de întrebări. Se recomandă o prezentare cu slide-uri și, pentru lucrările practice, o demonstrație a aplicației realizate. Nota finală combină evaluarea lucrării și a prezentării."
31,elearning,Nu îmi pot accesa contul de pe platforma de e-learning. Ce fac?,"Dacă nu vă puteți autentifica pe platforma de e-learning, verificați mai întâi dacă folosiți adresa de e-mail instituțională. Pentru resetarea parolei folosiți opțiunea Am uitat parola, iar dacă problema persistă contactați administratorul platformei la adresa de suport afișată pe pagina de login."
32,elearning,Cum îmi activez adresa de e-mail instituțională?,"Adresa de e-mail instituțională se activează pe baza datelor primite la înmatriculare, urmând instrucțiunile din ghidul publicat pe site-ul universității. După activare, adresa instituțională este obligatorie pentru comunicarea cu facultatea și pentru accesul la platformele online."
33,elearning,Unde găsesc materialele de curs?,"Materialele de curs sunt publicate de cadrele didactice pe platforma de e-learning a facultății, la disciplina corespunzătoare. Pentru acces trebuie să fiți înscris la disciplină și autentificat cu contul instituțional. Unele materiale pot fi distribuite și pe grupurile oficiale ale anului."
34,erasmus,Cum pot pleca cu bursă Erasmus?,"Pentru o mobilitate Erasmus trebuie să participați la selecția organizată de biroul Erasmus al universității, de regulă în martie pentru anul universitar următor. Selecția include media academică, o scrisoare de motivație și, pentru unele destinații, un test de limbă străină."
35,erasmus,Se echivalează examenele date în mobilitatea Erasmus?,"Da. Disciplinele promovate în mobilitate se echivalează pe baza contractului de studii (Learning Agreement) semnat înainte de plecare. De aceea este important ca disciplinele alese la universitatea gazdă să fie compatibile cu planul de învățământ de acasă."
36,secretariat,Cum pot lua legătura cu îndrumătorul de an?,"Numele și datele de contact ale îndrumătorului de an sunt afișate pe site-ul facultății, la secțiunea Studenți. Îl puteți contacta pe e-mailul instituțional sau în timpul orelor de consultații, al căror program este afișat la avizier și pe platforma de e-learning."
37,examene,Ce pot face dacă mă îmbolnăvesc chiar în ziua examenului?,"Dacă din motive medicale nu vă puteți prezenta la examen, anunțați cadrul didactic și secretariatul și depuneți scutirea medicală în cel mult 5 zile lucrătoare. Pe baza documentelor, puteți susține examenul într-o sesiune de reprogramare, fără a pierde o prezentare."
38,taxe,Primesc banii înapoi dacă mă retrag de la facultate?,"Restituirea taxei depinde de momentul retragerii: dacă retragerea are loc înainte de începerea anului universitar, taxa se restituie de regulă integral, mai puțin taxa de înmatriculare. După începerea cursurilor, se reține cota aferentă perioadei parcurse, conform contractului de studii."
39,studii,Ce medie îmi trebuie ca să mă înscriu la master?,"Admiterea la master se face pe baza mediei de la licență și, la unele programe, a unui interviu sau a unei probe scrise. Nu există o medie minimă generală, dar locurile bugetate se ocupă în ordinea descrescătoare a mediilor de admitere. Detaliile sunt publicate în metodologia de admitere."
40,cazare,Ce reguli trebuie să respect în cămin?,"Regulamentul căminului prevede printre altele: păstrarea liniștii în intervalul 22:00-08:00, interdicția modificării instalațiilor electrice, accesul persoanelor străine doar cu acordul administrației și pe baza unui act de identitate, precum și răspunderea materială pentru bunurile din inventar."
